Stop;Direction;From;To;PassIn;PassOut;BusIn;BusOut;BusInPercentage;BusOutPercentage;;24u_entry;24u_exit;7-9_entry;7-9_exit;16-18_entry;16-18_exit
Padualaan;0;20;21;222,4745128;1,24033314;46,9;0,142857143;0,16004641;0,000892326;;428,4375;14,75;49,5;51,5;1233,5;1,5
Kromme Rijn;0;20;21;23,46839183;4,213398024;4,67;0,476190476;0,016882976;0,003031222;;43,1875;1,9375;70;0,5;127;2,5
Galgenwaard;0;20;21;45,47943184;17,69627153;9,05;2;0,032717545;0,012731131;;37,875;16,5625;26;13,5;146;33,5
Vaartscherijn;0;20;21;123,4728883;125,5592604;24,57;14,19047619;0,088825422;0,090330403;;78,8125;34;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;20;21;0;1134,668081;0;128,2380952;0;0,816307972;;0;1322,75;0;404,5;0;3870,5
P+R Uithof;0;21;22;200,1641269;52,65784733;16,43;3;0,143996494;0,037883343;;0,9375;0;0,5;0;3,5;0
WKZ;0;21;22;200,1641269;52,65784733;16,43;3;0,143996494;0,037883343;;63,4375;0;151,5;0;132,5;0
UMC;0;21;22;200,1641269;52,65784733;16,43;3;0,143996494;0,037883343;;166,25;0;39;0;598,5;0
Heidelberglaan;0;21;22;236,7126589;0,835838831;19,43;0,047619048;0,17028922;0,000601323;;571,125;0;77,5;0;1650;0
Padualaan;0;21;22;141,9589026;0,835838831;24,52;0,047619048;0,102124115;0,000601323;;428,4375;14,75;49,5;51,5;1233,5;1,5
Kromme Rijn;0;21;22;22,6600898;3,343355324;1,86;0,19047619;0,01630149;0,002405292;;43,1875;1,9375;70;0,5;127;2,5
Galgenwaard;0;21;22;59,69593562;24,23932652;4,9;1,380952381;0,042944785;0,017438364;;37,875;16,5625;26;13,5;146;33,5
Vaartscherijn;0;21;22;171,7781004;96,95730606;14,1;5,523809524;0,123575811;0,069753458;;78,8125;34;85,5;29,5;133,5;115,5
Centraal Station Centrumzijde;0;21;22;0;1105,814793;0;63;0;0,795550211;;0;1322,75;0;404,5;0;3870,5
Centraal Station Centrumzijde;1;6;7;1223,302039;0;126;0;0,859928502;0;;1249,625;0;4061,5;0;1066;0
Vaartscherijn;1;6;7;164,5863666;33,3214748;16,95238095;22;0,115697108;0,023425616;;146,0625;108,4375;478;147;161;147,5
Galgenwaard;1;6;7;20,34213518;43,92376221;2,095238095;29;0,014299643;0,030879221;;22,4375;80,5;90;152,5;13;114
Kromme Rijn;1;6;7;13,8696377;15,00187607;1,428571429;9,904761905;0,009749756;0,010546598;;2,9375;64,9375;12,5;116;2;146,5
Padualaan;1;6;7;0,090355851;19,90633559;0,047619048;13,14285714;6,35E-05;0,013994524;;0,625;604,5;0;2275,5;4,5;359
Heidelberglaan;1;6;7;0;33,24935039;0;21,95238095;0;0,023374911;;0,5;361,8125;0;1265,5;3,5;250,5
UMC;1;6;7;0;425,6782337;0;281,047619;0;0,29925971;;0,375;161,0625;0;549;2,5;161
WKZ;1;6;7;0;425,6782337;0;281,047619;0;0,29925971;;0;40,25;0;133,5;0;73,5
P+R Uithof;1;6;7;0;425,6782337;0;281,047619;0;0,29925971;;0;0,9375;0;3,5;0;0,5
Centraal Station Centrumzijde;1;7;8;1106,379271;0;603,1904762;0;0,777736845;0;;1249,625;0;4061,5;0;1066;0
