Trip;Date;Departure;CS Centrumzijde;Vaartscherijn;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;UMC;WKZ;P+R Uithof
R1149;3-9-2015;12:35;0;8;12;4;39;48;1,00;1,00;1,00
R1151;3-9-2015;12:40;0;0;0;0;4;2;0,33;0,33;0,33
R1153;3-9-2015;12:44;0;0;0;0;4;2;0,67;0,67;0,67
R1155;3-9-2015;12:49;0;10;1;5;32;55;0,33;0,33;0,33
R1157;3-9-2015;12:54;0;7;2;4;29;26;1,33;1,33;1,33
R1159;3-9-2015;12:59;0;22;0;3;31;20;0,00;0,00;0,00
R1161;3-9-2015;13:03;0;8;0;0;9;5;0,33;0,33;0,33
R1163;3-9-2015;13:08;0;23;1;4;33;30;0,00;0,00;0,00
R1165;3-9-2015;13:13;0;23;0;0;1;0;0,00;0,00;0,00
R1167;3-9-2015;13:18;0;14;5;3;21;28;1,67;1,67;1,67
R1169;3-9-2015;13:23;0;13;1;1;15;11;0,67;0,67;0,67
R1171;3-9-2015;13:27;0;3;1;0;2;1;0,33;0,33;0,33
R1173;3-9-2015;13:32;0;0;2;10;25;13;2,00;2,00;2,00
R1175;3-9-2015;13:37;0;8;1;1;1;9;0,00;0,00;0,00
R1177;3-9-2015;13:42;0;11;6;5;13;11;1,67;1,67;1,67
R1179;3-9-2015;13:46;0;5;1;2;11;9;0,67;0,67;0,67
R1181;3-9-2015;13:51;0;7;3;0;19;13;2,00;2,00;2,00
R1183;3-9-2015;13:56;0;0;0;0;0;0;0,00;0,00;0,00
R1185;3-9-2015;14:01;0;9;6;2;14;32;2,00;2,00;2,00
R1187;3-9-2015;14:06;0;0;0;0;0;0;0,00;0,00;0,00
R1189;3-9-2015;14:10;0;0;0;0;1;0;0,00;0,00;0,00
R1191;3-9-2015;14:15;0;11;4;3;23;49;1,67;1,67;1,67
R1193;3-9-2015;14:20;0;0;0;1;3;7;0,33;0,33;0,33
R1197;3-9-2015;14:29;0;0;0;0;0;0;0,00;0,00;0,00
R1199;3-9-2015;14:34;0;0;0;0;2;3;0,33;0,33;0,33
R1201;3-9-2015;14:39;0;5;5;2;13;41;0,33;0,33;0,33
R1203;3-9-2015;14:42;0;0;0;0;3;1;0,67;0,67;0,67
R1205;3-9-2015;14:48;0;6;7;4;28;25;0,33;0,33;0,33
R1211;3-9-2015;15:01;0;2;0;1;0;4;0,00;0,00;0,00
R1213;3-9-2015;15:06;0;0;0;0;1;1;0,00;0,00;0,00
R1217;3-9-2015;15:14;0;2;3;0;6;6;1,00;1,00;1,00
R1219;3-9-2015;15:19;0;24;6;0;18;23;1,67;1,67;1,67
R1221;3-9-2015;15:23;0;4;2;2;21;12;1,33;1,33;1,33
R1223;3-9-2015;15:27;0;0;0;0;0;0;0,00;0,00;0,00
R1225;3-9-2015;15:32;0;0;0;0;0;0;0,00;0,00;0,00
R1227;3-9-2015;15:36;0;2;0;0;2;6;1,33;1,33;1,33
R1229;3-9-2015;15:40;0;1;0;0;0;0;0,00;0,00;0,00
R1231;3-9-2015;15:45;0;6;3;0;25;4;0,33;0,33;0,33
R1233;3-9-2015;15:49;0;0;0;0;0;1;0,00;0,00;0,00
R1235;3-9-2015;15:53;0;0;0;0;1;2;1,00;1,00;1,00
R1237;3-9-2015;15:58;0;10;2;1;13;11;1,67;1,67;1,67
R1241;3-9-2015;16:06;0;0;0;0;0;0;0,00;0,00;0,00
R1243;3-9-2015;16:11;0;0;0;0;2;0;0,00;0,00;0,00
R1245;3-9-2015;16:15;0;9;1;0;7;7;1,67;1,67;1,67
