Trip;Date;Departure;CS Centrumzijde;Bleekstraat;Sterrenwijk;Rubenslaan;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU
R1003;4-9-2015;6:30;26;2;1;0;0;0;0;0;0
R1005;4-9-2015;6:42;30;0;3;0;1;0;0;0;0
R1007;4-9-2015;6:55;25;2;2;2;1;1;0;0;0
R1009;4-9-2015;7:05;38;5;0;1;0;0;0;0;0
R1011;4-9-2015;7:14;42;1;0;1;0;0;0;0;0
R1013;4-9-2015;7:21;59;2;0;5;0;0;1;0;0
R1015;4-9-2015;7:26;0;0;0;0;0;0;0;0;0
R1017;4-9-2015;7:31;0;3;0;2;2;0;0;1;0
R1019;4-9-2015;7:36;56;0;0;0;0;0;0;0;0
R1021;4-9-2015;7:40;105;1;2;4;2;0;0;0;0
R1023;4-9-2015;7:44;48;2;2;2;3;0;0;0;0
R1025;4-9-2015;7:48;162;5;3;5;3;1;0;0;0
R1027;4-9-2015;7:52;36;1;0;0;0;0;0;0;0
R1029;4-9-2015;7:57;68;3;0;1;6;0;0;0;0
R1031;4-9-2015;8:01;174;5;0;1;0;2;0;0;0
R1033;4-9-2015;8:05;88;4;1;1;1;0;0;0;0
R1035;4-9-2015;8:09;85;5;3;6;4;2;0;0;0
R1037;4-9-2015;8:14;321;5;2;3;1;1;0;0;0
R1039;4-9-2015;8:18;141;5;2;5;7;0;0;0;0
R1041;4-9-2015;8:22;245;7;2;7;2;0;0;0;0
R1043;4-9-2015;8:26;395;1;1;4;2;2;0;0;0
R1045;4-9-2015;8:30;180;1;1;1;0;0;0;0;0
R1047;4-9-2015;8:35;248;7;2;1;2;1;0;2;0
R1049;4-9-2015;8:39;273;11;4;13;0;0;0;0;0
R1051;4-9-2015;8:43;105;0;0;2;3;1;0;1;0
R1053;4-9-2015;8:47;169;0;4;6;1;1;0;0;0
R1055;4-9-2015;8:52;223;2;8;4;1;0;1;0;0
R1057;4-9-2015;8:56;24;0;2;0;0;0;0;0;0
R1059;4-9-2015;9:00;112;0;0;0;0;0;0;0;0
R1061;4-9-2015;9:05;191;62;2;0;0;0;0;0;0
R1067;4-9-2015;9:19;230;4;1;1;0;0;0;1;0
R1069;4-9-2015;9:24;196;2;1;1;0;0;0;0;0
R1071;4-9-2015;9:28;237;2;2;1;0;0;0;0;0
